
Abkhazia,
Afghanistan,91.1
Akrotiri and Dhekelia,
Albania,14
Algeria,24
American Samoa,
Andorra,2.8
Angola,156.9
Anguilla,
Antigua and Barbuda,8.1
Argentina,12.5
Armenia,14.2
Aruba,16.57
Australia,3.5
Austria,3.5
Azerbaijan,31.7
Bahamas,12.1
Bahrain,6.2
Bangladesh,37.6
Barbados,13
Belarus,4.4
Belgium,4.1
Belize,16.5
Benin,99.5
Bermuda,
Bhutan,32.9
Bolivia,38.4
Bosnia and Herzegovina,6
Botswana,53.3
Brazil,13.3
British Virgin Islands,
Brunei,10.3
Bulgaria,10.7
Burkina Faso,88.6
Burundi,81.7
Cambodia,28.7
Cameroon,88.7
Canada,4.9
Cape Verde,24.3
Cayman Islands,
Central African Republic,130.5
Chad,138.7
Channel Islands,8.87
Chile,8.1
China,10.7
Christmas Island,
Cocos Island,
Colombia,15.9
Comoros,73.5
"Congo, Dem. Rep.",98.3
"Congo, Rep.",45
Cook Is,8.1
Costa Rica,9.7
Cote d'Ivoire,94.4
Croatia,4.3
Cuba,5.6
Cyprus,3.4
Czech Republic,3.4
Czechoslovakia,
Denmark,3.5
Djibouti,65.3
Dominica,21.2
Dominican Republic,30.9
East Germany,
Ecuador,21.6
Egypt,24
El Salvador,16.8
Equatorial Guinea,94.1
Eritrea,46.5
Eritrea and Ethiopia,
Estonia,3
Ethiopia,59.2
Faeroe Islands,
Falkland Is (Malvinas),
Fiji,22.4
Finland,2.3
France,4.3
French Guiana,10.78
French Polynesia,6.8
Gabon,52.2
Gambia,68.9
Georgia,11.9
Germany,3.7
Ghana,61.6
Gibraltar,
Greece,4.1
"GL, 299",
Grenada,11.8
Guadeloupe,5.77
Guam,10.36
Guatemala,29.1
Guernsey,
Guinea,93.7
Guinea-Bissau,92.5
Guyana,39.4
Haiti,69
Holy See,
Honduras,20.4
"Hong Kong, China",2.42
Hungary,6.2
Iceland,2
India,47.7
Indonesia,27.2
Iran,15.5
Iraq,32
Ireland,3.6
Isle of Man,
Israel,4
Italy,3.4
Jamaica,15.7
Japan,2.7
Jersey,
Jordan,17.9
Kazakhstan,14.1
Kenya,50.6
Kiribati,55.9
North Korea,24.9
South Korea,3.5
"United Korea (former)
",
,
Kuwait,8.6
Kyrgyz Republic,21.3
Lao,66.7
Latvia,7.9
Lebanon,8.3
Lesotho,97.1
Liberia,69.9
Libya,13.4
Liechtenstein,
Lithuania,4
Luxembourg,1.9
"Macao, China",4.81
"Macedonia, FYR",5.5
Madagascar,49.6
Malawi,65.4
Malaysia,8.2
Maldives,8.6
Mali,114.7
Malta,5.9
Marshall Islands,36
Martinique,6.58
Mauritania,84.7
Mauritius,13.5
Mayotte,4.27
Mexico,13.2
"Micronesia, Fed. Sts.",34.7
Moldova,15.8
Monaco,3.5
Mongolia,22.4
Montenegro,4.7
Montserrat,
Morocco,27.6
Mozambique,80.6
Myanmar,50
Namibia,46.7
Nauru,35.4
Nepal,35.8
Netherlands,3.8
Netherlands Antilles,
New Caledonia,14.18
New Zealand,5.7
Ngorno-Karabakh,
Nicaragua,22.1
Niger,95.5
Nigeria,108.8
Niue,23
Norfolk Island,
Northern Cyprus,
Northern Mariana Islands,
Norway,2.5
Oman,11.6
Pakistan,81.1
Palau,16.4
Panama,17
Papua New Guinea,57.3
Paraguay,20.5
Peru,16.9
Philippines,28
Pitcairn,
Poland,5.2
Portugal,3.6
Puerto Rico,6.69
Qatar,7.7
Reunion,4.28
Romania,11.1
Russia,9.6
Rwanda,42
St. Barthélemy,
St. Helena,
St. Kitts and Nevis,10.5
St. Lucia,14.3
St. Martin,
St. Vincent and the Grenadines,18.3
St.-Pierre-et-Miquelon,
Samoa,17.5
San Marino,2.9
Sao Tome and Principe,47.3
Saudi Arabia,14.5
Senegal,47.2
Serbia,6.7
Serbia and Montenegro,
Serbia excluding Kosovo,
Seychelles,13.6
Sierra Leone,120.4
Singapore,2.7
Slovak Republic,6.7
Slovenia,2.7
Solomon Islands,28.1
Somalia,136.8
Somaliland,
South Africa,42.1
South Ossetia,
Spain,4.1
Sri Lanka,8.7
Sudan,70.1
Suriname,21.3
Svalbard,
Swaziland,69.6
Sweden,3
Switzerland,3.9
Syria,12.9
"TW, 34",
Tajikistan,44.8
Tanzania,48.4
Thailand,12.3
Timor-Leste,52.6
Togo,78.4
Tokelau,
Tonga,16.7
Transnistria,
Trinidad and Tobago,20.4
Tunisia,14
Turkey,13.5
Turkmenistan,51.4
Turks and Caicos Islands,
Tuvalu,27.1
Uganda,59.5
Ukraine,9
United Arab Emirates,6.8
United Kingdom,4.2
United States,6.5
Uruguay,10.1
USSR,
Uzbekistan,39.1
Wallis et Futuna,
Vanuatu,27.5
Venezuela,14.9
West Bank and Gaza,21.1
West Germany,
Western Sahara,41.45
Vietnam,21.7
Virgin Islands (U.S.),10.33
North Yemen (former),
South Yemen (former),
Yemen,47.5
Yugoslavia,
Zambia,67.8
Zimbabwe,79.6
Åland,
South Sudan,92.6
Curaçao,11.33
Sint Maarten (Dutch part),
St. Martin (French part),
Antarctica,
Bouvet Island,
British Indian Ocean Territory,
Clipperton,
French Southern and Antarctic Lands,
Gaza Strip,
Heard and McDonald Islands,
Northern Marianas,
South Georgia and the South Sandwich Islands,
US Minor Outlying Islands,
Virgin Islands,
West Bank,
